UniqueID,Variable,Component,EMS_Code,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
205,"Chlorophenol, 2,3,5,6-TTCP",Total,EMS_T038,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(3.51-log(4^(EMS_0004-5.3)+1))*232)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
206,"Chlorophenol, 2,3,6-TCP",Total,EMS_T035,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(2.71-log(4^(EMS_0004-6)+1))*197)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
207,"Chlorophenol, 2,4-DCP",Total,EMS_D050,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.81-log(4^(EMS_0004-7.85)+1))*163)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
208,"Chlorophenol, 2,4-DCP",Total,EMS_D050,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.9,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
209,"Chlorophenol, 2,4-DCP",Total,EMS_D050,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.003,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
210,"Chlorophenol, 2,4,5-TCP",Total,EMS_T043,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(2.44-log(4^(EMS_0004-7.07)+1))*197)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
211,"Chlorophenol, 2,4,6-TCP",Total,EMS_T042,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(2.47-log(4^(EMS_0004-6.2)+1))*197)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
212,"Chlorophenol, 2,4,6-TCP",Total,EMS_T042,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.005,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
213,"Chlorophenol, 2,4,6-TCP",Total,EMS_T042,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.002,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
214,"Chlorophenol, 2,5-DCP",Total,EMS_D075,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.95-log(4^(EMS_0004-7.5)+1))*163)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
215,"Chlorophenol, 2,6-DCP",Total,EMS_D076,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.83-log(4^(EMS_0004-6.91)+1))*163)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
216,"Chlorophenol, 3-MCP",Total,EMS_M050,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.19-log(4^(EMS_0004-9.1)+1))*129)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
217,"Chlorophenol, 3,4-DCP",Total,EMS_CP07,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.94-log(4^(EMS_0004-7.6)+1))*163)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
218,"Chlorophenol, 3,4,5-TCP",Total,EMS_T044,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(2.59-log(4^(EMS_0004-7.7)+1))*197)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
219,"Chlorophenol, 3,5-DCP",Total,EMS_D077,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(2.24-log(4^(EMS_0004-7.1)+1))*163)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
220,"Chlorophenol, 4-MCP",Total,EMS_M050,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,(1/10^(1.06-log(4^(EMS_0004-9.37)+1))*129)*0.54,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/chlorophenols-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/chlorophenols-tech.pdf
221,"Chlorophenol, DCP ",Total,EMS_D060,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.0003,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
222,"Chlorophenol, DCP ",Total,EMS_D060,Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.0003,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
223,"Chlorophenol, MCP",Total,EMS_M050,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.0001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
224,"Chlorophenol, MCP",Total,EMS_M050,Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.0001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
225,"Chlorophenol, PCP",Total,EMS_P022,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,0.06,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
226,"Chlorophenol, PCP",Total,EMS_P022,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.03,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
227,"Chlorophenol, PCP",Total,EMS_P022,Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.03,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
228,"Chlorophenol, TCP ",Total,EMS_T021,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.002,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
229,"Chlorophenol, TCP ",Total,EMS_T021,Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.002,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
230,"Chlorophenol, TTCP ",Total,EMS_T020,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,0.001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
231,"Chlorophenol, TTCP ",Total,EMS_T020,Recreation,Water,Primary Contact,1,1,max,,,,,No Effect,Upper Limit,0.001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
232,Chlorophyll a,Total,EMS_0143,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,Naturally growing periphytic algae.,No Effect,Upper Limit,100,,mg/m2,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nutrients-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nutrients-tech.pdf
233,Chlorophyll a,Total,EMS_0143,Recreation,Water,Primary Contact,1,1,max,,,,"Rivers, streams or creeks.",No Effect,Upper Limit,50,,mg/m2,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
234,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5.8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
235,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,170,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
236,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.18,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
237,"Chlorothalonil (2,4,5,6-Tetrachloro-1,3-benzenecarbonitrile, Daconil)",Total,EMS_C016,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.36,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
238,Chlorpyrifos,Total,EMS_C017,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,24,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
239,Chlorpyrifos,Total,EMS_C017,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.002,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
240,Chlorpyrifos,Total,EMS_C017,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.002,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
241,Chromium hexavalent,Total,EMS_CR_6,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
242,Chromium hexavalent,Total,EMS_CR_6,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
243,Chromium hexavalent,Total,EMS_CR_6,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
244,Chromium hexavalent,Total,EMS_CR_6,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
245,Chromium ,Total,EMS_CR_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,37.3,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
246,Chromium ,Total,EMS_CR_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,90,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
247,Chromium ,Total,EMS_CR_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,52.3,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
248,Chromium ,Total,EMS_CR_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,160,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
249,Chromium trivalent,Total,EMS_CR_3,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,4.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
250,Chromium trivalent,Total,EMS_CR_3,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
251,Chromium trivalent,Total,EMS_CR_3,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,8.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
252,Chromium trivalent,Total,EMS_CR_3,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,56,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
253,Chrysene,Total,EMS_PA09,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0571,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
254,Chrysene,Total,EMS_PA09,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.862,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
255,Chrysene,Total,EMS_PA09,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.2,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
256,Chrysene,Total,EMS_PA09,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.108,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
257,Chrysene,Total,EMS_PA09,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.846,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
258,Chrysene,Total,EMS_PA09,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
259,Cobalt ,Total,EMS_CO_T,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,Continuous or intermittent use on all soils. Older 20 year maximum concentrations have been removed as it is no longer considered appropriate to provide a value which will result in soil concentrations above the guidelines after 20 years.,No Effect,Upper Limit,50,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
260,Cobalt ,Total,EMS_CO_T,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
261,Cobalt ,Total,EMS_CO_T,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,110,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/coblat-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cobalt_tech.pdf
262,Cobalt ,Total,EMS_CO_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,4,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/coblat-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/cobalt_tech.pdf
263,Coliforms fecal,Total,EMS_0450,Drinking Water,Water,Maximum Acceptable Concentration,30,5,quantile90,,,,,No Effect,Upper Limit,10,,CFU/100 mL,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
264,Colour Apparent,Total,EMS_0001,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,white light,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
265,Colour Apparent,Total,EMS_0001,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,white light,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
266,Colour Apparent,Total,EMS_0001,Wildlife,Water,Long-term chronic,30,5,mean,,,,,No Effect,Lower Limit,EMS_0001 * 0.8,white light,Apparent,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
267,Colour True,Total,EMS_0002,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,30-day average true colour of filtered water samples shall not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
268,Colour True,Total,EMS_0002,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,30-day average true colour of filtered water samples shall not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
269,Colour True,Total,EMS_0002,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
270,Colour True,Total,EMS_0002,Recreation,Water,Aesthetic Objective,30,5,mean,,,,,No Effect,Upper Limit,15,,TCU,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/recreational_water_quality_guidelines_bcenv.pdf,
271,Colour True,Total,EMS_0002,Wildlife,Water,Long-term chronic,30,5,mean,30-day average true colour of filtered water samples shall not exceed background levels by more than 5 mg/L Pt in clear water systems or 20% in coloured water systems.,,,,No Effect,,,,,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/colour-tech.pdf
272,Conductivity Specific,Total,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Low tolerance crops (strawberry, raspberry, bean, carrot).",No Effect,Upper Limit,0.7,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
273,Conductivity Specific,Total,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Slightly tolerant crops (all other fruits and berries, onions, parsnip, radish, pea, pumpkin, lettuce, pepper, muskmelon, sweet potato, sweet corn, potato, celery, cabbage kohlrabi, cauliflower, cowpea, broadbean, flax, sunflower, corn, clover)",No Effect,Upper Limit,1.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
274,Conductivity Specific,Total,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Moderately tolerant crops (spinach, cantaloupe, cucumber, tomato, squash, brussel sprout, broccoli, turnip, brome, alfalfa, big trefoil, beardless, wildrye, vetch timothy, crested wheatgrass).",No Effect,Upper Limit,2.2,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
275,Conductivity Specific,Total,EMS_0011,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,"Tolerant crops (beet, zucchini, canola, sorghum, oat hay, wheat hay, brume, tall fascue, sweet clover, perennial ryegras).",No Effect,Upper Limit,3.6,,mS/cm,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
